Reino,Filo,Classe,Ordem,Familia,Genero,Especie,Grupo,Mes_Ano_Avaliacao,Categoria,Endemica_Brasil,Consta_em_Lista_Nacional_Oficial,Estado,Regiao,Bioma,UC_Federal,UC_Estadual,RPPN,Tendencia_Populacional,Ameaca
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Plebeia,Plebeia grapiuna,Invertebrados Terrestres,04/2022,Quase Ameaçada,Sim,Não,Bahia,|Nordeste|,Mata Atlântica,,,,Desconhecida,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.2 - Silvicultura|2.2.3 - Plantações em escala desconhecida 5 - Uso de recursos biológicos|5.3 - Extração florestal
Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pareiorhaphis,Pareiorhaphis scutula,Peixes Continentais,10/2021,Menos Preocupante,Sim,Sim,Minas Gerais,|Sudeste|,Mata Atlântica,PARNA da Serra do Gandarela,ÁREA DE PROTEÇÃO AMBIENTAL SUL-RMBH,,Desconhecida,3 - Produção energética e mineração|3.2 - Mineração|3.2.3 - Extração de minérios - subsolo 3 - Produção energética e mineração|3.2 - Mineração|3.2.4 - Extração de minérios - garimpo 3 - Produção energética e mineração|3.3 - Energia renovável|3.3.1 - Hidrelétricas 5 - Uso de recursos biológicos|5.3 - Extração florestal|5.3.2 - Uso intencional - larga escala
Animalia,Chordata,Actinopterygii,Characiformes,Bryconidae,Brycon,Brycon dulcis,Peixes Continentais,05/2022,Vulnerável,Sim,Não,"Espírito Santo, Minas Gerais",|Sudeste|,Mata Atlântica,,PARQUE ESTADUAL DO RIO DOCE,,Declinando,3 - Produção energética e mineração|3.2 - Mineração|3.2.3 - Extração de minérios - subsolo 7 - Modificações nos sistemas naturais|7.2 - Represas e uso de água|7.2.11 - Represas (tamanho desconhecido) 7 - Modificações nos sistemas naturais|7.3 - Outras modificações nos ecossistemas 8 - Espécies invasoras problemáticas e doenças|8.1 - Espécies exóticas|8.1.1 - Espécie conhecida|8.1.1.1 - Competidores 8 - Espécies invasoras problemáticas e doenças|8.1 - Espécies exóticas|8.1.1 - Espécie conhecida|8.1.1.2 - Predadores 9 - Poluição|9.1 - Doméstica e urbana - escoamento de água|9.1.1 - Esgoto 9 - Poluição|9.1 - Doméstica e urbana - escoamento de água|9.1.2 - Escoamento urbano 9 - Poluição|9.3 - Agropecuária e florestal|9.3.2 - Erosão do solo/sedimentação
Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,Amphisbaena nigricauda,Répteis,03/2021,Vulnerável,Sim,Sim,"Bahia, Espírito Santo",|Nordeste|Sudeste|,Mata Atlântica,REBIO de Sooretama,ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO,,Desconhecida,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 1 - Desenvolvimento residencial e comercial|1.3 - Áreas de turismo e recreação 3 - Produção energética e mineração|3.2 - Mineração|3.2.1 - Extração de areia 4 - Transportes e serviços de transmissão|4.3 - Portos
Animalia,Mollusca,Gastropoda,Caenogastropoda,Tateidae,Potamolithus,Potamolithus karsticus,Invertebrados de Água Doce,02/2023,Em Perigo,Sim,Sim,São Paulo,|Sudeste|,Mata Atlântica,,,,Desconhecida,2 - Agropecuária e Aquacultura|2.3 - Pecuária 3 - Produção energética e mineração|3.2 - Mineração 6 - Distúrbios humanos|6.1 - Atividades recreacionais/turísticas
Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hisonotus,Hisonotus notatus,Peixes Continentais,02/2025,Quase Ameaçada,Sim,Não,Rio de Janeiro,|Sudeste|,Mata Atlântica,"APA Bacia do Rio São João/Mico-Leão-Dourado, REBIO do Tinguá","ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO MACACU, ÁREA DE PROTEçãO AMBIENTAL DO ALTO IGUAçU","RPPN El Nagual, RPPN Fazenda Arco-Íris",Desconhecida,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 9 - Poluição|9.1 - Doméstica e urbana - escoamento de água|9.1.1 - Esgoto 9 - Poluição|9.2 - Industrial|9.2.4 - Tipo desconhecido
Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Rhamdella,Rhamdella exsudans,Peixes Continentais,10/2024,Dados Insuficientes,Sim,Não,Rio de Janeiro,|Sudeste|,Mata Atlântica,,,,Desconhecida,
Animalia,Arthropoda,Entognatha,Entomobryomorpha,Paronellidae,Trogolaphysa,Trogolaphysa barroca,Invertebrados Terrestres,03/2025,Vulnerável,Sim,Não,Minas Gerais,|Sudeste|,Mata Atlântica,,,,Desconhecida,3 - Produção energética e mineração|3.2 - Mineração|3.2.3 - Extração de minérios - subsolo
Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca,Manduca diffissa,Invertebrados Terrestres,12/2024,Menos Preocupante,Não,Não,"Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Roraima, Santa Catarina, São Paulo",|Centro-Oeste|Nordeste|Norte|Sudeste|Sul|,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa","APA Chapada do Araripe, APA Petrópolis, APA Planalto Central, APA Serra da Mantiqueira, ESEC de Maracá, ESEC Seridó, FLONA Itacaiunas, PARNA da Chapada Diamantina, PARNA da Chapada dos Veadeiros, PARNA da Serra dos Órgãos, PARNA de Itatiaia, PARNA do Caparaó, PARNA Jaú, PARNA Serra do Pardo, REBIO Augusto Ruschi, REBIO do Gurupi, REBIO Guaribas","APA CAMPOS DO JORDÃO, APA DA BACIA DOS RIBEIRÕES DO GAMA E CABEÇA DE VEADO, APA JUNDIAí, APA SAPUCAí MIRIM, APA SERRA DO MAR, ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO MACACU, ÁREA DE PROTEÇÃO AMBIENTAL DO ALTO DO MUCURI, ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA, ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO, ÁREA DE PROTEçãO AMBIENTAL ROTA DO SOL, PARQUE ESTADUAL DA SERRA DO MAR, PARQUE ESTADUAL DOS PIRINEUS","RPPN Caetezal, RPPN CEFLUSMME, RPPN Fattoria Grigia, RPPN Fazenda Limeira, RPPN Fazenda Suspiro, RPPN Frei Caneca, RPPN Gleba O Saquinho de Itapirapuá, RPPN - Reserva Ecológica do Panga, RPPN Sítio Curucutu, RPPN Sítio do Bananal",Desconhecida,
Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Chaetomys,Chaetomys subspinosus,Mamíferos,09/2021,Menos Preocupante,Sim,Sim,"Bahia, Espírito Santo, Minas Gerais, Sergipe",|Nordeste|Sudeste|,"Mata Atlântica, Sistema Costeiro-Marinho","FLONA do Rio Preto, PARNA do Descobrimento, PARNA do Monte Pascoal, PARNA do Pau Brasil, PARNA Serra das Lontras, REBIO Augusto Ruschi, REBIO Comboios, REBIO de Sooretama, REBIO de Una, REBIO do Córrego do Veado, REBIO do Córrego Grande, REVIS Una","ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU, ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS, ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE, ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA","MATA DO PASSARINHO, RPPN Rio do Brasil II",Declinando,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.2 - Agricultura em pequenas propriedades 5 - Uso de recursos biológicos|5.1 - Caça e captura de animais terrestres ou marinhos|5.1.1 - Caça/captura intencional (a espécie é o alvo) 5 - Uso de recursos biológicos|5.3 - Extração florestal|5.3.5 - Motivação desconhecida 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios
Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca,Manduca gueneei,Invertebrados Terrestres,12/2024,Menos Preocupante,Sim,Não,"Minas Gerais, Rio de Janeiro",|Sudeste|,"Cerrado, Mata Atlântica",,,,Desconhecida,
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Fredyagrion,Fredyagrion capixabae,Invertebrados de Água Doce,06/2022,Menos Preocupante,Sim,Sim,"Espírito Santo, Rio de Janeiro",|Sudeste|,Mata Atlântica,,MONUMENTO NATURAL ESTADUAL SERRA DAS TORRES,,Desconhecida,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 3 - Produção energética e mineração|3.2 - Mineração|3.2.2 - Extração de seixo/pedra 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Rhipidomys,Rhipidomys tribei,Mamíferos,11/2021,Menos Preocupante,Sim,Sim,"Espírito Santo, Minas Gerais, Rio de Janeiro",|Sudeste|,Mata Atlântica,PARNA de Itatiaia,"ÁREA DE PROTEÇÃO AMBIENTAL SUL-RMBH, PARQUE ESTADUAL SERRA DO BRIGADEIRO",RPPN Mata dos Jacus - Resgate VI,Desconhecida,2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 3 - Produção energética e mineração|3.2 - Mineração|3.2.6 - Tipo desconhecido
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Fulakora,Fulakora cleae,Invertebrados Terrestres,12/2024,Dados Insuficientes,Sim,Sim,Bahia,|Nordeste|,Mata Atlântica,,,,Desconhecida,2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dasyophthalma,Dasyophthalma vertebralis,Invertebrados Terrestres,09/2024,Dados Insuficientes,Sim,Sim,"Espírito Santo, Minas Gerais",|Sudeste|,Mata Atlântica,REBIO de Sooretama,ÁREA DE PROTEÇÃO AMBIENTAL DO ALTO DO MUCURI,,Desconhecida,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.2 - Silvicultura|2.2.3 - Plantações em escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios
Animalia,Chordata,Actinopterygii,Characiformes,Crenuchidae,Characidium,Characidium oiticicai,Peixes Continentais,10/2024,Menos Preocupante,Sim,Sim,São Paulo,|Sudeste|,Mata Atlântica,,"APA CABREUVA, APA JUNDIAí, PARQUE ESTADUAL DA SERRA DO MAR",,Desconhecida,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.3 - Agricultura agro-industrial 7 - Modificações nos sistemas naturais|7.2 - Represas e uso de água|7.2.3 - Captação de água de superfície - uso na agricultura 7 - Modificações nos sistemas naturais|7.3 - Outras modificações nos ecossistemas 9 - Poluição|9.1 - Doméstica e urbana - escoamento de água|9.1.1 - Esgoto 9 - Poluição|9.2 - Industrial|9.2.4 - Resíduos líquidos diversos 9 - Poluição|9.3 - Agropecuária e florestal|9.3.3 - Herbicidas e pesticidas
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Astyanax,Astyanax depressirostris,Peixes Continentais,10/2024,Menos Preocupante,Sim,Não,"Paraná, São Paulo",|Sudeste|Sul|,Mata Atlântica,,"ÁREA DE PROTEÇÃO AMBIENTAL DO PASSAUNA, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DO PIRAQUARA",,Desconhecida,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Anopetia,Anopetia gounellei,Aves,10/2024,Menos Preocupante,Sim,Não,"Alagoas, Bahia, Ceará, Minas Gerais, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Sergipe",|Nordeste|Sudeste|,"Caatinga, Cerrado, Mata Atlântica","APA Chapada do Araripe, APA Delta do Parnaíba, APA do Boqueirao da Onça, ESEC de Aiuaba, ESEC Raso da Catarina, FLONA Contendas do Sincorá, FLONA de Negreiros, FLONA do Araripe-Apodi, FLONA Nísia Floresta, MONA Rio São Francisco, PARNA da Chapada Diamantina, PARNA da Furna Feia, PARNA da Serra da Capivara, PARNA da Serra das Confusões, PARNA de Boa Nova, PARNA do Boqueirao da Onça, PARNA do Catimbau, PARNA Serra do Teixeira, REVIS Boa Nova","ÁREA DE PROTEÇÃO AMBIENTAL BONFIM/GUARAÍRA, ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE BATURITÉ, ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO, ÁREA DE PROTEÇÃO AMBIENTAL DUNAS E VEREDAS DO BAIXO MÉDIO SÃO FRANCISCO, ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SOBRADINHO, ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA, ÁREA DE PROTEÇÃO AMBIENTAL SERRA BRANCA / RASO DA CATARINA, PARQUE ESTADUAL DO MORRO DO CHAPÉU, PARQUE ESTADUAL MATA SECA, PARQUE ESTADUAL PICO DO JABRE","RPPN Córrego dos bois, RPPN Fazenda Almas, RPPN Fazenda Não me Deixes, RPPN Fazenda Ressaca, RPPN Reserva Ecológica Maurício Dantas, RPPN Reserva Serra das Almas, RPPN Serra das Almas II",Desconhecida,11 - Mudanças e extremos climáticos|11.1 - Mudança/alteração de habitat 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras 2 - Agropecuária e Aquacultura|2.3 - Pecuária 5 - Uso de recursos biológicos|5.3 - Extração florestal|5.3.1 - Uso intencional - subsistência/pequena escala 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Carminda,Carminda umuarama,Invertebrados Terrestres,09/2024,Menos Preocupante,Sim,Não,"Minas Gerais, Rio de Janeiro, São Paulo",|Sudeste|,Mata Atlântica,"APA Bacia do Rio Paraíba do Sul, APA Serra da Mantiqueira, PARNA da Serra da Bocaina, PARNA de Itatiaia, PARNA do Caparaó","APA CAMPOS DO JORDÃO, APA SAPUCAí MIRIM, ÁREA DE PROTEÇÃO AMBIENTAL FERNÃO DIAS, MONUMENTO NATURAL ESTADUAL DA PEDRA DO BAú",,Desconhecida,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.2 - Silvicultura|2.2.3 - Plantações em escala desconhecida
Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Enyo,Enyo gorgon,Invertebrados Terrestres,12/2024,Menos Preocupante,Não,Não,"Alagoas, Amazonas, Bahia, Ceará, Espírito Santo, Maranhão, Mato Grosso, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins",|Centro-Oeste|Nordeste|Norte|Sudeste|Sul|,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa","APA Petrópolis, ESEC de Maracá, PARNA da Serra de Itabaiana, PARNA da Serra dos Órgãos, PARNA Jaú, PARNA Serra do Pardo, REBIO do Gurupi","APA JUNDIAí, APA SERRA DO MAR, ÁREA DE PROTEÇÃO AMBIENTAL DO ALTO DO MUCURI, PARQUE ESTADUAL DA SERRA DO MAR, PARQUE ESTADUAL INTERVALES","RPPN Caetezal, RPPN CEFLUSMME, RPPN Fazenda Limeira, RPPN Fazenda Suspiro, RPPN Parque Ecológico ARTEX, RPPN Sítio do Bananal",Desconhecida,
Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hypostomus,Hypostomus nigromaculatus,Peixes Continentais,10/2019,Menos Preocupante,Sim,Não,"Mato Grosso do Sul, Minas Gerais, Paraná, São Paulo",|Centro-Oeste|Sudeste|Sul|,"Cerrado, Mata Atlântica",,"APA CORUMBATAí, BOTUCATU E TEJUPá PERIMETRO CORUMBATAí, APA CORUMBATAÍ BOTUCATU TEJUPA PERIMETRO BOTUCATU, APA PIRACICABA JUQUERI MIRIM ÁREA I, APA PIRACICABA JUQUERí-MIRIM AREA II, AREA DE PROTEçãO AMBIENTAL DE CAMPINAS, PARQUE ESTADUAL DO MORRO DO DIABO",,Desconhecida,
Animalia,Chordata,Reptilia,Squamata,Anomalepididae,Liotyphlops,Liotyphlops sousai,Répteis,11/2019,Dados Insuficientes,Sim,Não,Santa Catarina,|Sul|,Mata Atlântica,,,,Desconhecida,2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.2 - Silvicultura|2.2.3 - Plantações em escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 3 - Produção energética e mineração|3.3 - Energia renovável|3.3.1 - Hidrelétricas
Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Apobaetis,Apobaetis pucupi,Invertebrados de Água Doce,11/2019,Dados Insuficientes,Sim,Não,Minas Gerais,|Sudeste|,Mata Atlântica,,,,Desconhecida,2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida
Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,Pandion haliaetus,Aves,01/2021,Menos Preocupante,Não,Não,"Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins",|Centro-Oeste|Nordeste|Norte|Sudeste|Sul|,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal","APA Bacia do Rio Descoberto, APA Baleia Franca, APA Barra do Rio Mamanguape, APA Delta do Parnaíba, APA Guapi-Mirim, APA Guaraqueçaba, APA Ilhas e Várzeas do Rio Paraná, APA Petrópolis, APA Piaçabuçú, ARIE Manguezais da Foz do Rio Mamanguape, ESEC Carijós, ESEC da Terra do Meio, ESEC de Maracá, ESEC de Taiamã, ESEC Niquiá, ESEC Pirapitinga, FLONA Carajás, FLONA de Ipanema , FLONA Mapiá-Inauini, FLONA Restinga de Cabedelo, PARNA Amazônia, PARNA Anavilhanas, Parna Aparados da Serra, PARNA Araguaia, PARNA da Chapada dos Veadeiros, PARNA da Serra dos Órgãos, PARNA da Serra Geral, PARNA de Brasília, PARNA de Ilha Grande, PARNA do Cabo Orange, PARNA do Pantanal Mato-grossense, PARNA do Viruá, PARNA Jaú, PARNA Juruena, PARNA Montanhas do Tumucumaque, PARNA Serra do Pardo, REBIO Abufari, REBIO de Poço das Antas, REBIO de Sooretama, REBIO do Jaru, REBIO do Lago Piratuba, REBIO Rio Trombetas, REBIO Uatumã, RESEX Arapixi, RESEX Baixo Rio Branco Jauaperi, RESEX Cururupu, RESEX Lago do Capanã Grande","APA CORUMBATAí, BOTUCATU E TEJUPá PERIMETRO CORUMBATAí, APA IBITINGA, APA ILHA COMPRIDA, APA ITUPARARANGA, APA JUNDIAí, APA PIRACICABA JUQUERí-MIRIM AREA II, APA RIO BATALHA, APA SERRA DO MAR, APA SISTEMA CANTAREIRA, ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS, ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE, ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA HIDROGRÁFICA DO RIO MACHADO, ÁREA DE PROTEçãO AMBIENTAL DA BAIXADA MARANHENSE, ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES, ÁREA DE PROTEçãO AMBIENTAL DA FOZ DO RIO DAS PREGUIçAS - PEQUENOS LENçóIS - REGIãO LAGUNAR ADJACENTE, ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE BATURITÉ, ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES, ÁREA DE PROTEÇÃO AMBIENTAL DE PRESIDENTE FIGUEIREDO - CAVERNA DO MOROAGA, ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS, ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DO MARAJÓ, AREA DE PROTEçãO AMBIENTAL DO RIO GUANDU, ÁREA DE PROTEÇÃO AMBIENTAL DUNAS E VEREDAS DO BAIXO MÉDIO SÃO FRANCISCO, ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO, ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL, ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SOBRADINHO, ÁREA DE PROTEÇÃO AMBIENTAL PLATAFORMA CONTINENTAL DO LITORAL NORTE, ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO, AREA DE PROTECAO AMBIENTAL XERIUINI, PARQUE ESTADUAL DA ILHA DO CARDOSO, PARQUE ESTADUAL DO CANTãO, PARQUE ESTADUAL MATA SECA, PARQUE ESTADUAL RIO NEGRO SETOR NORTE, RESERVA BIOLÓGICA DO RIO DESCOBERTO, RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL AMANÃ, RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL PIAGAÇU PURUS, RESERVA EXTRATIVISTA CATUÁ-IPIXUNA","RPN Salto Apepique, RPPN Adão e Eva, RPPN Aldeia Ekinox, RPPN Araçari, RPPN Arara Azul, RPPN Bela Vista, RPPN Brejo Novo, RPPN Cachoeira Boa Vista, RPPN Caetezal, RPPN CEFLUSMME, RPPN Chácara Mangueiras, RPPN Chakra Grisu, RPPN dos Feixos, RPPN Estância Jatobá, RPPN Fazenda América, RPPN Fazenda Barra do Sana, RPPN Fazenda Boa Esperança, RPPN Fazenda Bom Jardim, RPPN Fazenda Caetano, RPPN Fazenda Córrego da Luz, RPPN Fazenda Estância Dorochê, RPPN Fazenda Palmital, RPPN Fazenda Ressaca, RPPN Fazenda Rosa do Sol, RPPN Fazenda San Michele, RPPN Fazenda Santa Izabel, RPPN Fazenda Sayonara, RPPN Fazenda Serrinha, RPPN Fazenda Silvo Agro-Pastoril Gonçalves, RPPN Fazendinha, RPPN Gleba O Saquinho de Itapirapuá, RPPN Ilha do Caju, RPPN Jubran, RPPN Laço de Amor, RPPN Linda Serra dos Topázios, RPPN Lote Cristalino, RPPN Lote Urbano, RPPN Mato Grosso, RPPN Meandros II, RPPN Mercês Sabiaquaba e Nazário, RPPN Morro das Aranhas, RPPN Morro do Curussu Mirim, RPPN Parque Ecológico ARTEX, RPPN Racho 55-I, RPPN Reserva Boca da Mata, RPPN Reserva Ecológica Amadeu Botelho, RPPN Reserva Ecológica da Mata Fria, RPPN Reserva Rizzieri, RPPN Retiro Boa Esperança, RPPN Santa Maria de Tapuã, RPPN Seringal Assunção, RPPN Seringal Triunfo, RPPN Sítio Capuavinha, RPPN Sítio Curucutu, RPPN Sítio do Bananal, RPPN Sítio do Jacu, RPPN Sítio Grimpas, RPPN Vila Ana Angélica",Desconhecida,
Animalia,Arthropoda,Insecta,Zygoptera,Coenagrionidae,Angelagrion,Angelagrion fredericoi,Invertebrados de Água Doce,03/2022,Dados Insuficientes,Sim,Não,São Paulo,|Sudeste|,Mata Atlântica,,,,Desconhecida,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida
Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Apobaetis,Apobaetis fiuzai,Invertebrados de Água Doce,11/2019,Menos Preocupante,Não,Não,"Amazonas, Bahia, Espírito Santo, Maranhão, Mato Grosso, Minas Gerais, Pernambuco, Rio de Janeiro, Rondônia, Roraima, São Paulo",|Centro-Oeste|Nordeste|Norte|Sudeste|,"Amazônia, Caatinga, Cerrado, Mata Atlântica","APA Cananéia-Iguape-Peruíbe, PARNA do Caparaó","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO BARBADO, PARQUE ESTADUAL DO RIO DOCE",,Desconhecida,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Euglossa,Euglossa violaceifrons,Invertebrados Terrestres,07/2021,Menos Preocupante,Sim,Não,"Bahia, Espírito Santo, Minas Gerais, Paraíba, Pernambuco, Rio de Janeiro, São Paulo",|Nordeste|Sudeste|,"Caatinga, Cerrado, Mata Atlântica",APA Bacia do Rio São João/Mico-Leão-Dourado,"ESTAÇÃO ECOLÓGICA ESTADUAL DE GUAXINDIBA, PARQUE ESTADUAL DO RIO DOCE",RPPN Feliciano Miguel Abdala,Desconhecida,
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hollandichthys,Hollandichthys taramandahy,Peixes Continentais,11/2021,Vulnerável,Sim,Sim,"Rio Grande do Sul, Santa Catarina",|Sul|,Mata Atlântica,Parna Aparados da Serra,"ÁREA DE PROTEçãO AMBIENTAL ROTA DO SOL, RESERVA BIOLóGICA ESTADUAL MATA PALUDOSA",,Desconhecida,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 3 - Produção energética e mineração|3.2 - Mineração|3.2.2 - Extração de seixo/pedra 7 - Modificações nos sistemas naturais|7.3 - Outras modificações nos ecossistemas
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Moneuptychia,Moneuptychia itapeva,Invertebrados Terrestres,04/2018,Menos Preocupante,Sim,Não,"Minas Gerais, São Paulo",|Sudeste|,"Cerrado, Mata Atlântica","APA do Morro da Pedreira, APA Serra da Mantiqueira, PARNA da Serra do Cipó","APA CAMPOS DO JORDÃO, ÁREA DE PROTEÇÃO AMBIENTAL SUL-RMBH, PARQUE ESTADUAL DE CAMPOS DO JORDÃO, PARQUE ESTADUAL SERRA DO PAPAGAIO, PARQUE ESTADUAL SERRA DO ROLA MOÇA",,Desconhecida,
Animalia,Mollusca,Gastropoda,Pulmonata,Strophochaelidae,Speironepion,Speironepion iguapensis,Invertebrados Terrestres,03/2023,Quase Ameaçada,Sim,Não,"Paraná, São Paulo",|Sudeste|Sul|,Mata Atlântica,"APA Cananéia-Iguape-Peruíbe, APA Guaraqueçaba, PARNA Superagui",APA CAMPOS DO JORDÃO,,Desconhecida,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras
