Reino,Filo,Classe,Ordem,Familia,Genero,Especie,Grupo,Mes_Ano_Avaliacao,Categoria,Endemica_Brasil,Consta_em_Lista_Nacional_Oficial,Estado,Regiao,Bioma,UC_Federal,UC_Estadual,RPPN,Tendencia_Populacional,Ameaca
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Adelpha,Adelpha thoasa,Invertebrados Terrestres,04/2018,Menos Preocupante,Não,Não,"Amazonas, Distrito Federal, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Rio Grande do Sul, São Paulo",|Centro-Oeste|Norte|Sudeste|Sul|,"Amazônia, Cerrado, Mata Atlântica","APA Planalto Central, FLONA Paraopeba","APA DA BACIA DOS RIBEIRÕES DO GAMA E CABEÇA DE VEADO, ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO",,Desconhecida,
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Stegastes,Stegastes trindadensis,Peixes Marinhos (ósseos),06/2019,Vulnerável,Sim,Sim,Espírito Santo,|Sudeste|,"Mata Atlântica, Sistema Costeiro-Marinho","APA do Arquipélago de Trindade e Martim Vaz, MONA do Arquipélago de Trindade e Martim Vaz e Monte Columbia",,,Desconhecida,3 - Produção energética e mineração|3.2 - Mineração 4 - Transportes e serviços de transmissão|4.4 - Tráfego de embarcações 6 - Distúrbios humanos|6.3 - Trabalho e outras atividades 8 - Espécies invasoras problemáticas e doenças|8.1 - Espécies exóticas|8.1.1 - Espécie conhecida|8.1.1.1 - Competidores 8 - Espécies invasoras problemáticas e doenças|8.1 - Espécies exóticas|8.1.1 - Espécie conhecida|8.1.1.2 - Predadores 9 - Poluição
Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,Brasilomma,Brasilomma enigmatica,Invertebrados Terrestres,05/2018,Em Perigo,Sim,Sim,Minas Gerais,|Sudeste|,"Cerrado, Mata Atlântica",APA Carste da Lagoa Santa,,RPPN dos Feixos,Desconhecida,1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 3 - Produção energética e mineração|3.2 - Mineração|3.2.3 - Extração de minérios - subsolo 6 - Distúrbios humanos|6.1 - Atividades recreacionais/turísticas
Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,Spatula versicolor,Aves,06/2019,Menos Preocupante,Não,Não,"Mato Grosso do Sul, Minas Gerais, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo",|Centro-Oeste|Sudeste|Sul|,"Cerrado, Mata Atlântica, Pampa, Pantanal","APA Guapi-Mirim, APA Ibirapuitã, ESEC do Taim, Parna Aparados da Serra, PARNA da Lagoa do Peixe, PARNA da Serra Geral","APA CAJAMAR, APA CORUMBATAí, BOTUCATU E TEJUPá PERIMETRO CORUMBATAí, APA JUNDIAí, ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE, RESERVA BIOLóGICA DO MATO GRANDE","RPPN Alegrete, RPPN Caetezal, RPPN Fazenda HorII, RPPN Gleba O Saquinho de Itapirapuá, RPPN Gralha-Azul, RPPN Morro das Aranhas, RPPN Parque Ecológico ARTEX, RPPN Reserva Particular Professor Delmar Harry dos Reis, RPPN Sítio Curucutu, RPPN Voturuna II",Desconhecida,
Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pseudocolopteryx,Pseudocolopteryx acutipennis,Aves,10/2018,Menos Preocupante,Não,Não,"Goiás, Mato Grosso, Mato Grosso do Sul, Rio Grande do Sul",|Centro-Oeste|Sul|,"Cerrado, Mata Atlântica, Pampa, Pantanal",,,RPPN Fazenda Estância Dorochê,Declinando,
Animalia,Chordata,Aves,Passeriformes,Furnariidae,Phacellodomus,Phacellodomus striaticollis,Aves,10/2021,Menos Preocupante,Não,Não,"Paraná, Rio Grande do Sul, Santa Catarina",|Sul|,"Mata Atlântica, Pampa","APA Ibirapuitã, ESEC Aracuri-Esmeralda, Parna Aparados da Serra, PARNA da Serra Geral","PARQUE ESTADUAL DO TAINHAS, RESERVA BIOLóGICA DO MATO GRANDE","RPPN Fazenda Araucária, RPPN Gralha-Azul, RPPN Rancho Mira-Serra",Declinando,2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras 2 - Agropecuária e Aquacultura|2.2 - Silvicultura 2 - Agropecuária e Aquacultura|2.3 - Pecuária 7 - Modificações nos sistemas naturais|7.2 - Represas e uso de água
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,Fulmarus glacialoides,Aves,10/2019,Menos Preocupante,Não,Não,"Bahia, Paraná, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo",|Nordeste|Sudeste|Sul|,"Mata Atlântica, Pampa, Sistema Costeiro-Marinho","ESEC do Taim, PARNA da Lagoa do Peixe, PARNA Marinho das Ilhas dos Currais, REBIO Marinha do Arvoredo",,,Aumentando,11 - Mudanças e extremos climáticos 5 - Uso de recursos biológicos|5.4 - Pesca e uso de recursos aquáticos 8 - Espécies invasoras problemáticas e doenças|8.3 - Espécies nativas problemáticas|8.3.1 - Espécie conhecida|8.3.1.2 - Predadores 9 - Poluição|9.4 - Lixo e resíduos sólidos
Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Paratheridula,Paratheridula perniciosa,Invertebrados Terrestres,09/2021,Menos Preocupante,Não,Não,"Pernambuco, Rio Grande do Sul, Santa Catarina, São Paulo",|Nordeste|Sudeste|Sul|,"Cerrado, Mata Atlântica",,,,Desconhecida,
Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,Fregata magnificens,Aves,10/2019,Menos Preocupante,Não,Não,"Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe",|Nordeste|Norte|Sudeste|Sul|,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Sistema Costeiro-Marinho","APA Baleia Franca, APA Barra do Rio Mamanguape, APA Cairuçu, APA Cananéia-Iguape-Peruíbe, APA Costa das Algas, APA Costa dos Corais, APA Delta do Parnaíba, APA Fernando de Noronha, APA Guapi-Mirim, APA Guaraqueçaba, APA Petrópolis, APA Piaçabuçú, ARIE Manguezais da Foz do Rio Mamanguape, ESEC Carijós, ESEC do Taim, ESEC Guanabara, ESEC Tamoios, ESEC Tupinambás, ESEC Tupiniquins, FLONA Mario Xavier, FLONA Restinga de Cabedelo, MONA Arquipélago das Ilhas Cagarras, PARNA da Lagoa do Peixe, PARNA da Serra dos Órgãos, PARNA da Tijuca, PARNA do Cabo Orange, PARNA Lençóis Maranhenses, PARNA Marinho das Ilhas dos Currais, PARNA Marinho de Fernando de Noronha, PARNA Marinho dos Abrolhos, PARNA Restinga de Jurubatiba, PARNA Saint-Hilaire/Lange, REBIO Atol das Rocas, REBIO Comboios, REBIO de Poço das Antas, REBIO de Sooretama, REBIO do Lago Piratuba, REBIO Marinha do Arvoredo, RESEX Acaú-Goiana, RESEX Marinha Mestre Lucindo, REVIS Arquipélago de Alcatrazes, REVIS Ilha dos Lobos","APA ILHA COMPRIDA, APA MARINHA DO LITORAL CENTRO, APA MARINHA DO LITORAL NORTE, APA MARINHA DO LITORAL SUL, ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU, ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS, ÁREA DE PROTEÇÃO AMBIENTAL BONFIM/GUARAÍRA, ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE, ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO MACACU, ÁREA DE PROTEçãO AMBIENTAL DA FOZ DO RIO DAS PREGUIçAS - PEQUENOS LENçóIS - REGIãO LAGUNAR ADJACENTE, ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES, ÁREA DE PROTEÇÃO AMBIENTAL DE MACAÉ DE CIMA, ÁREA DE PROTEçãO AMBIENTAL DE MASSAMBABA, ÁREA DE PROTEÇÃO AMBIENTAL DE TAMOIOS, ÁREA DE PROTEçãO AMBIENTAL DE UPAON-AçU / MIRITIBA / ALTO PREGUIçAS, ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DO MARAJÓ, ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PACOTI, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA, ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA, ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS, ÁREA DE PROTEÇÃO AMBIENTAL SANTO ANTÔNIO, ARIE DE SãO SEBASTIãO, ESTAÇÃO ECOLÓGICA DA ILHA DO MEL, PARQUE ESTADUAL DA ILHA DO CARDOSO, PARQUE ESTADUAL DA SERRA DO MAR, PARQUE ESTADUAL DA SERRA DO TABULEIRO, PARQUE ESTADUAL DO RIO VERMELHO, PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS, PARQUE ESTADUAL XIXOVÁ-JAPUÍ","Estação Veracel, RPN Salto Apepique, RPPN Araçari, RPPN Bio Estação Águas Cristalinas, RPPN Cachoeira Boa Vista, RPPN Caetezal, RPPN CEC/Tinguá, RPPN CEFLUSMME, RPPN El Nagual, RPPN Fazenda Barra do Sana, RPPN Fazenda Boa Esperança, RPPN Fazenda Córrego da Luz, RPPN Fazenda Limeira, RPPN Fazenda Palmital, RPPN Fazenda Paraíso, RPPN Fazenda Rosa do Sol, RPPN Fazenda Santa Izabel, RPPN Fazenda Sayonara, RPPN Gleba O Saquinho de Itapirapuá, RPPN Juerana, RPPN Lagoa do Peixe, RPPN Mato Grosso, RPPN Meandros, RPPN Morro das Aranhas, RPPN Morro do Curussu Mirim, RPPN Reserva do Patrimônio Natural do Guaxinim, RPPN Reserva Rizzieri, RPPN Sítio do Bananal, RPPN Sítio do Jacu, RPPN Sítio Jaquarema",Estável,
Animalia,Chordata,Aves,Passeriformes,Vireonidae,Hylophilus,Hylophilus poicilotis,Aves,06/2019,Menos Preocupante,Não,Não,"Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo",|Sudeste|Sul|,"Cerrado, Mata Atlântica, Pampa","APA Bacia do Rio Paraíba do Sul, APA Cairuçu, APA Guaraqueçaba, APA Ilhas e Várzeas do Rio Paraná, APA Petrópolis, APA Serra da Mantiqueira, ARIE Mata de Santa Genebra, ARIE Serra da Abelha e Rio da Prata , ESEC Mico-Leão-Preto, FLONA Chapecó, FLONA de Ipanema , FLONA de Irati, FLONA Três Barras, Parna Aparados da Serra, PARNA Araucárias, PARNA da Serra da Bocaina, PARNA da Serra do Itajaí, PARNA da Serra dos Órgãos, PARNA da Serra Geral, PARNA de Ilha Grande, PARNA de Itatiaia, PARNA do Caparaó, PARNA Iguaçu, PARNA Saint-Hilaire/Lange, REBIO Augusto Ruschi, REBIO do Tinguá, REVIS dos Campos de Palmas","APA CABREUVA, APA CAMPOS DO JORDÃO, APA ITUPARARANGA, APA SAPUCAí MIRIM, APA SERRA DO MAR, APA SISTEMA CANTAREIRA, ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO MACACU, ÁREA DE PROTEÇÃO AMBIENTAL DO IRAÍ, AREA DE PROTEçãO AMBIENTAL DO RIO GUANDU, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA SERRA DA ESPERANÇA, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DO PIRAQUARA, ÁREA DE PROTEÇÃO AMBIENTAL FERNÃO DIAS, ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DO CAPIVARI-MONOS, ÁREA DE PROTEçãO AMBIENTAL ROTA DO SOL, PARQUE ESTADUAL DA ILHA DO CARDOSO, PARQUE ESTADUAL DA SERRA DO MAR, PARQUE ESTADUAL DA SERRA DO TABULEIRO, PARQUE ESTADUAL INTERVALES","RPPN Alegrete, RPPN Ano Bom, RPPN Bio Estação Águas Cristalinas, RPPN Caetezal, RPPN El Nagual, RPPN Fattoria Grigia, RPPN Fazenda Alto da Boa Vista, RPPN Fazenda Barra do Sana, RPPN Fazenda da Serra, RPPN Fazenda HorII, RPPN Fazenda Limeira, RPPN Fazenda Palmital, RPPN Fazenda San Michele, RPPN Fazenda São Geraldo, RPPN Fazenda Silvo Agro-Pastoril Gonçalves, RPPN Fazenda Suspiro, RPPN Gleba O Saquinho de Itapirapuá, RPPN Meandros II, RPPN Morro do Curussu Mirim, RPPN Nave da Esperança, RPPN Parque Ecológico ARTEX, RPPN Prima Luna, RPPN Rancho Mira-Serra, RPPN Reserva do Caraguatá II, RPPN Reserva do Caraguatá III, RPPN Reserva do Patrimônio Natural do Guaxinim, RPPN Reserva Rizzieri, RPPN Sítio Capuavinha, RPPN Sítio Curucutu, RPPN Sítio do Bananal, RPPN Sítio do Jacu, RPPN Sítio Monte Ararat, RPPN Sítio Raio Solar, RPPN Sítio Ryan, RPPN Sítio São Domingos/Agartha, RPPN Usina Mauricio, Sítio do Cantoneiro, VALE DO SOL",Desconhecida,
